acceptedAnswerId,acceptedAnswerScore,averageLengthOfCodeSnippet,englishNumChars,englishNumWords,numQuestionMarks,numberImages,numberLinks,numberOfCodeSnippets,totalLinesOfCode,viewCount
231855,9571,6.5,404,71,7,0,1,2,13,1291933
100146,1430,0,47,8,2,0,0,0,0,480526
394814,3717,0,119,18,1,0,0,0,0,908630
419185,3037,13,18,4,1,0,0,1,13,1114058
89243,2595,0,128,24,1,0,0,0,0,1910615
26853961,1898,7,357,63,1,0,0,1,7,787921
613218,2664,0,441,86,1,0,1,0,0,1292591
273227,2491,7.5,308,56,2,0,0,2,15,1243561
739665,2452,2.5,218,36,1,0,0,2,5,383586
423596,2776,0,193,35,2,0,0,0,0,1997098
53522,2819,1,72,14,1,0,0,1,1,1137521
252711,2949,0,53,9,1,0,0,0,0,1473950
1669524,1597,0,58,9,1,0,2,0,0,350696
3437070,2764,2,53,12,0,0,0,1,2,1595096
12476379,1335,0,66,15,2,0,2,0,0,1648567
522578,3147,1,158,34,2,0,0,1,1,847499
1145781,1145,8.666666666666666,1600,258,3,0,0,3,26,90923
986145,1828,8,229,34,1,0,0,1,8,714897
509295,2280,0,195,33,0,0,0,0,0,806914
2626364,1691,0,41,9,1,0,0,0,0,339944
176921,2309,0,93,21,1,0,0,0,0,1617987
576183,1081,14,182,31,0,0,0,1,14,979679
8189603,608,0,209,39,1,0,2,0,0,392426
1602964,1533,4,231,45,1,0,0,1,4,1406701
6470452,2030,4.8,423,82,1,0,0,5,24,293815
1024851,1839,0,113,23,1,0,0,0,0,1435083
415519,1418,0,51,8,1,0,0,0,0,1361347
3294899,2538,3,221,43,3,0,0,1,3,1808449
379910,1605,0,224,46,2,0,0,0,0,2212606
952952,1976,3,220,42,1,0,0,2,6,724611
68672,1172,0,103,18,2,0,0,0,0,687581
1712236,1624,7,48,10,1,0,0,1,7,1667269
2612815,1628,0,109,21,2,0,0,0,0,660507
663175,1790,0,235,46,3,0,0,0,0,1414107
1720432,1937,1.5,66,8,1,0,0,2,3,880085
1695250,2016,0,132,23,1,0,0,0,0,517540
312464,1481,0,570,103,0,0,1,0,0,434562
735978,1389,1,102,18,0,0,0,1,1,556657
493842,769,3,116,20,1,0,0,2,6,764544
3452888,1243,0,122,22,1,0,2,0,0,546857
36908,1080,2,65,13,1,0,0,1,2,245827
2225066,1226,0,188,37,1,0,0,0,0,890867
6797990,1651,0,142,21,1,0,0,0,0,1118811
9371717,893,11,4671,806,0,0,2,12,132,125169
354130,477,6,275,50,1,0,0,1,6,741262
930398,1623,0,53,11,1,0,0,0,0,824569
466376,1658,2,373,67,0,0,0,1,2,1129291
24065533,1102,0,84,18,1,0,0,0,0,655350
123212,1187,0,64,13,1,0,1,0,0,750235
5137509,1431,0,161,29,1,0,0,0,0,1044771
5082482,701,7.5,429,75,5,0,1,2,15,758649
60211,748,0,268,50,1,0,0,0,0,776974
306417,1662,1,103,18,1,0,0,1,1,589768
73050,1330,1,119,21,0,0,0,2,2,365195
493399,1345,0,251,53,1,0,2,2,0,927803
448279,663,0,42,8,1,0,0,0,0,369822
30081318,897,2.6666666666666665,924,162,1,0,6,3,8,59998
