acceptedAnswerId,acceptedAnswerScore,averageLengthOfCodeSnippet,englishNumChars,englishNumWords,numQuestionMarks,numberImages,numberLinks,numberOfCodeSnippets,totalLinesOfCode,viewCount
231855,9571,6.5,404,71,7,0,1,2,13,1291901
100146,0,0,47,8,2,0,0,0,0,480518
394814,0,0,119,18,1,0,0,0,0,908596
419185,0,13,18,4,1,0,0,1,13,1114023
89243,2594,0,128,24,1,0,0,0,0,1910576
26853961,1898,7,357,63,1,0,0,1,7,787899
613218,0,0,441,86,1,0,1,0,0,1292558
273227,0,7.5,308,56,2,0,0,2,15,1243517
739665,0,2.5,218,36,1,0,0,2,5,383584
423596,2776,0,193,35,2,0,0,0,0,1997051
53522,2819,1,72,14,1,0,0,1,1,1137482
252711,0,0,53,9,1,0,0,0,0,1473884
1669524,0,0,58,9,1,0,2,0,0,350676
3437070,0,2,53,12,0,0,0,1,2,1595024
12476379,1335,0,66,15,2,0,2,0,0,1648512
522578,0,1,158,34,2,0,0,1,1,847468
1145781,0,8.666666666666666,1600,258,3,0,0,3,26,90923
986145,1827,8,229,34,1,0,0,1,8,714872
509295,0,0,195,33,0,0,0,0,0,806883
2626364,0,0,41,9,1,0,0,0,0,339938
176921,0,0,93,21,1,0,0,0,0,1617933
576183,0,14,182,31,0,0,0,1,14,979656
8189603,0,0,209,39,1,0,2,0,0,392420
1602964,0,4,231,45,1,0,0,1,4,1406652
6470452,2030,4.8,423,82,1,0,0,5,24,293810
1024851,0,0,113,23,1,0,0,0,0,1435039
415519,0,0,51,8,1,0,0,0,0,1361289
3294899,0,3,221,43,3,0,0,1,3,1808363
379910,0,0,224,46,2,0,0,0,0,2212551
952952,1976,3,220,42,1,0,0,2,6,724588
68672,0,0,103,18,2,0,0,0,0,687546
1712236,0,7,48,10,1,0,0,1,7,1667204
2612815,1628,0,109,21,2,0,0,0,0,660479
663175,0,0,235,46,3,0,0,0,0,1414071
1720432,0,1.5,66,8,1,0,0,2,3,880062
1695250,2016,0,132,23,1,0,0,0,0,517529
312464,0,0,570,103,0,0,1,0,0,434546
735978,0,1,102,18,0,0,0,1,1,556643
493842,0,3,116,20,1,0,0,2,6,764530
3452888,1243,0,122,22,1,0,2,0,0,546825
36908,1080,2,65,13,1,0,0,1,2,245819
2225066,0,0,188,37,1,0,0,0,0,890836
6797990,1651,0,142,21,1,0,0,0,0,1118778
9371717,0,11,4671,806,0,0,2,12,132,125168
354130,0,6,275,50,1,0,0,1,6,741242
930398,0,0,53,11,1,0,0,0,0,824546
466376,1658,2,373,67,0,0,0,1,2,1129259
24065533,1102,0,84,18,1,0,0,0,0,655332
123212,0,0,64,13,1,0,1,0,0,750203
5137509,0,0,161,29,1,0,0,0,0,1044730
5082482,0,7.5,429,75,5,0,1,2,15,758636
60211,0,0,268,50,1,0,0,0,0,776947
306417,1662,1,103,18,1,0,0,1,1,589740
73050,0,1,119,21,0,0,0,2,2,365185
493399,1345,0,251,53,1,0,2,2,0,927779
448279,0,0,42,8,1,0,0,0,0,369809
30081318,897,2.6666666666666665,924,162,1,0,6,3,8,59998
3394898,1148,0,733,134,5,0,0,0,0,574888
6996628,0,0,43,9,1,0,0,0,0,878612
12179752,1609,0,568,97,4,0,0,0,0,327048
3071,1087,0,492,104,1,0,0,0,0,342623
4706520,0,0,110,20,2,0,0,0,0,858554
931095,0,0,212,37,1,0,0,0,0,638192
610893,0,6,140,28,2,0,0,1,6,401995
3964691,1199,0,76,15,1,0,0,0,0,766512
30408520,200,0,502,78,3,0,2,0,0,173047
582337,852,0,293,52,1,0,0,0,0,275957
4907053,0,0,103,20,1,0,0,0,0,673199
511059,0,0,362,74,1,0,1,0,0,431867
627453,0,0,234,47,2,0,0,0,0,1257346
1747827,0,1,143,23,1,0,0,1,1,414789
990779,1310,2.5,441,80,3,0,0,2,5,249952
2257449,1630,0,159,28,1,0,1,0,0,429195
14981125,0,8,272,50,2,0,0,1,8,427535
2600208,0,0,67,13,1,0,0,0,0,619308
339013,0,0,129,24,1,0,0,0,0,390521
961638,0,11,179,35,0,0,0,1,11,1780917
1301369,0,0,340,58,2,0,0,0,0,195060
886645,521,0,1066,176,3,0,0,0,0,112891
56190,0,0,124,19,1,0,0,0,0,290279
606199,0,2.25,482,89,1,0,1,4,9,635613
1185529,1043,0,81,14,1,0,0,0,0,693927
2835672,0,0,132,25,1,0,0,1,0,1190308
54873,393,0,134,24,2,0,0,0,0,145132
761825,0,4,84,13,1,0,0,1,4,693852
230774,0,0,348,62,1,0,1,0,0,393547
1504742,0,4,272,52,1,0,0,1,4,894687
1549854,0,5,159,24,2,0,1,2,10,405961
11277439,1151,2,93,18,1,0,0,1,2,518423
152596,0,0,198,40,3,0,0,0,0,412459
541394,0,0,61,10,1,0,0,0,0,445439
1319675,0,6,1245,221,3,0,0,1,6,297308
2709832,0,0,417,75,2,0,0,1,0,477522
2576240,0,0,2162,385,0,0,0,0,0,264466
3689710,219,0,3115,575,3,5,6,0,0,53171
890188,725,0,602,103,2,0,0,0,0,361202
9573259,0,1,220,38,2,0,0,1,1,632323
1952481,525,1,114,24,1,0,0,1,1,219610
626871,0,0,80,11,2,0,0,0,0,234645
11242447,0,3,209,39,1,0,0,4,12,44045
11346337,0,1,301,57,0,0,0,2,2,634180
5466478,0,2,37,7,0,0,0,1,2,129053
53180,0,1.5,171,34,1,0,0,2,3,821260
1093331,0,0,81,13,1,0,0,0,0,714952
9942822,0,3.5,1009,172,1,0,0,2,7,638926
6098238,0,4,235,43,2,0,0,1,4,669507
227472,799,0,18,5,1,0,2,0,0,688203
2998228,0,0,208,35,1,0,0,0,0,268353
547714,0,0,587,98,6,0,2,0,0,155573
23885252,0,0,164,29,1,0,0,0,0,603394
3297564,0,0,418,69,2,0,0,0,0,405319
1534343,884,0,386,66,3,0,0,0,0,265383
7696966,971,3,282,46,1,0,1,1,3,685722
1912483,0,6,287,54,1,0,0,1,6,671409
5226504,0,1,369,60,2,0,1,1,1,423674
67692,0,0,138,26,1,0,0,0,0,394622
6159912,758,0,227,37,3,0,0,0,0,1160402
